root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940614363619,efferent,descending,,,SMPpv1,right,CV
720575940614384757,efferent,descending,,,putative_primary,right,CV
720575940614403178,efferent,descending,,,WEDd1,right,CV
720575940614478658,efferent,descending,,,LB7,left,CV
720575940614562207,efferent,descending,,,LB7,left,CV
720575940614572906,efferent,descending,,,LB12,left,CV
720575940614581410,efferent,descending,,,putative_primary,right,CV
720575940614587990,efferent,descending,,,PSp2,right,CV
720575940614588778,efferent,descending,,,MX12,right,CV
720575940614642838,efferent,descending,,,MX12,right,CV
720575940614660263,efferent,descending,,,putative_primary,right,CV
720575940614682274,efferent,descending,,,LB7,right,CV
720575940614730914,efferent,descending,,,putative_primary,left,CV
720575940614736034,efferent,descending,,,MX3,right,CV
720575940614759149,efferent,descending,,,MX3,left,CV
720575940614840715,efferent,descending,,,LB12,left,CV
720575940614843275,efferent,descending,,,LB12,left,CV
720575940614909506,efferent,descending,,,MX12__prim,right,CV
720575940614959675,efferent,descending,,,LB6,right,CV
720575940615023535,efferent,descending,,,putative_primary,right,CV
720575940615030568,efferent,descending,,,putative_primary,right,CV
720575940615043222,efferent,descending,,,WEDd1,right,CV
720575940615043368,efferent,descending,,,putative_primary,left,CV
720575940615058216,efferent,descending,,,PSp2,left,CV
720575940615092019,efferent,descending,,,putative_primary,left,CV
720575940615108714,efferent,descending,,,MX3,right,CV
720575940615219417,efferent,descending,,,PSp2,left,CV
720575940615251251,efferent,descending,,,putative_primary,left,CV
720575940615292895,efferent,descending,,,putative_primary,left,CV
720575940615323298,efferent,descending,,,MX7__prim,left,CV
720575940615364564,efferent,descending,,,LB7,left,CV
720575940615378399,efferent,descending,,,MX3,right,CV
720575940615378700,efferent,descending,,,SMPpv2_dorsal,left,CV
720575940615385798,efferent,descending,,,LB6,left,CV
720575940615424966,efferent,descending,,,LB7,right,CV
720575940615453182,efferent,descending,,,LB7,left,CV
720575940615495867,efferent,descending,,,LB7,right,CV
720575940615502604,efferent,descending,,,PSp2,left,CV
720575940615505406,efferent,descending,,,,right,CV
720575940615559892,efferent,descending,,,SMPpv1,left,CV
720575940615578043,efferent,descending,,,putative_primary,right,CV
720575940615607207,efferent,descending,,,putative_primary,right,CV
720575940615623051,efferent,descending,,,MX12,left,CV
720575940615630237,efferent,descending,,,PSp2,left,CV
720575940615659521,efferent,descending,,,LB7,right,CV
720575940615666655,efferent,descending,,,putative_primary,left,CV
720575940615671106,efferent,descending,,,putative_primary,left,CV
720575940615679282,efferent,descending,,,LB12,right,CV
720575940615692690,efferent,descending,,,SMPpv2_dorsal,left,CV
720575940615715003,efferent,descending,,,MX3,right,CV
720575940615794077,efferent,descending,,,PSp2,left,CV
720575940615798470,efferent,descending,,,PSp3,left,CV
720575940615898730,efferent,descending,,,MX3,right,CV
720575940615899622,efferent,descending,,,LB12,right,CV
720575940615957663,efferent,descending,,,LB12,right,CV
720575940615958203,efferent,descending,,,MX12,right,CV
720575940616026939,efferent,descending,,,primary,left,CV
720575940616076917,efferent,descending,,,LB12,right,CV
720575940616167986,efferent,descending,,,LB0_posterior,center,CV
720575940616185531,efferent,descending,,,MX12__prim,right,CV
720575940616274619,efferent,descending,,,putative_primary,right,CV
720575940616286175,efferent,descending,,,WEDd1,left,CV
720575940616293855,efferent,descending,,,putative_primary,left,CV
720575940616353675,efferent,descending,,,MX12,left,CV
720575940616374667,efferent,descending,,,LB12,right,CV
720575940616376287,efferent,descending,,,LB7__prim,left,CV
720575940616400470,efferent,descending,,,putative_primary,left,CV
720575940616401467,efferent,descending,,,MX3,left,CV
720575940616471052,efferent,descending,,,MX12__prim,left,CV
720575940616498742,efferent,descending,,,,right,CV
720575940616548416,efferent,descending,,,LB6,right,CV
720575940616597334,efferent,descending,,,putative_primary,left,CV
720575940616604817,efferent,descending,,,putative_primary,left,CV
720575940616647483,efferent,descending,,,putative_primary,left,CV
720575940616649845,efferent,descending,,,putative_primary,left,CV
720575940616688286,efferent,descending,,,MX3,right,CV
720575940616786433,efferent,descending,,,LB6,left,CV
720575940616826380,efferent,descending,,,putative_primary,left,CV
720575940616886301,efferent,descending,,,putative_primary,left,CV
720575940616935838,efferent,descending,,,LB6,right,CV
720575940616936226,efferent,descending,,,putative_primary,left,CV
720575940617030585,efferent,descending,,,PSp3,right,CV
720575940617031385,efferent,descending,,,putative_primary,right,CV
720575940617034565,efferent,descending,,,putative_primary,left,CV
720575940617035153,efferent,descending,,,MX3,left,CV
720575940617035449,efferent,descending,,,,right,CV
720575940617074393,efferent,descending,,,MX12,left,CV
720575940617140597,efferent,descending,,,PSp2,left,CV
720575940617245652,efferent,descending,,,putative_primary,right,CV
720575940617249254,efferent,descending,,,LB6,right,CV
720575940617280657,efferent,descending,,,putative_primary,right,CV
720575940617290043,efferent,descending,,,putative_primary,left,CV
720575940617295321,efferent,descending,,,LB7,right,CV
720575940617296029,efferent,descending,,,MX7__prim,right,CV
720575940617296699,efferent,descending,,,LB7,right,CV
720575940617373268,efferent,descending,,,putative_primary,right,CV
720575940617390641,efferent,descending,,,MX12,right,CV
720575940617399257,efferent,descending,,,putative_primary,left,CV
720575940617432065,efferent,descending,,,putative_primary,right,CV
720575940617448331,efferent,descending,,,SMPpv1,right,CV
720575940617477022,efferent,descending,,,LB7,left,CV
720575940617498507,efferent,descending,,,LB12,right,CV
720575940617552569,efferent,descending,,,putative_primary,left,CV
720575940617554577,efferent,descending,,,MX12,right,CV
720575940617568697,efferent,descending,,,MX12,left,CV
720575940617663093,efferent,descending,,,LB7,right,CV
720575940617689816,efferent,descending,,,LB6,left,CV
720575940617696728,efferent,descending,,,PSp2,right,CV
720575940617750070,efferent,descending,,,putative_primary,left,CV
720575940617792069,efferent,descending,,,putative_primary,right,CV
720575940617802187,efferent,descending,,,PSp2,left,CV
720575940617802699,efferent,descending,,,PSp2,left,CV
720575940617809181,efferent,descending,,,SMPpv2_ventral,right,CV
720575940617873201,efferent,descending,,,,left,CV
720575940617904208,efferent,descending,,,putative_primary,right,CV
720575940617917396,efferent,descending,,,putative_primary,left,CV
720575940617918021,efferent,descending,,,MX3,left,CV
720575940617922439,efferent,descending,,,LB12,right,CV
720575940617950877,efferent,descending,,,putative_primary,right,CV
720575940617952034,efferent,descending,,,SMPpv2_dorsal,right,CV
720575940617990228,efferent,descending,,,MD3,right,CV
720575940617993607,efferent,descending,,,MX12,left,CV
720575940618051801,efferent,descending,,,MX3,left,CV
720575940618086535,efferent,descending,,,LB7,right,CV
720575940618147520,efferent,descending,,,MX12,left,CV
720575940618156829,efferent,descending,,,putative_primary,left,CV
720575940618167579,efferent,descending,,,WEDd1,left,CV
720575940618182480,efferent,descending,,,LB12,left,CV
720575940618203707,efferent,descending,,,putative_primary,left,CV
720575940618291520,efferent,descending,,,putative_primary,right,CV
720575940618314897,efferent,descending,,,SMPpv2_ventral,right,CV
720575940618382529,efferent,descending,,,PSp2,left,CV
720575940618393478,efferent,descending,,,MX12,right,CV
720575940618398533,efferent,descending,,,putative_primary,right,CV
720575940618402694,efferent,descending,,,PSp2,right,CV
720575940618405686,efferent,descending,,,MX12__prim,left,CV
720575940618427156,efferent,descending,,,LB7,right,CV
720575940618440000,efferent,descending,,,putative_primary,left,CV
720575940618440943,efferent,descending,,,LB12,left,CV
720575940618514043,efferent,descending,,,LB7__prim,left,CV
720575940618519454,efferent,descending,,,MX12,left,CV
720575940618548244,efferent,descending,,,,right,CV
720575940618550699,efferent,descending,,,PSp2,left,CV
720575940618574749,efferent,descending,,,putative_primary,left,CV
720575940618594022,efferent,descending,,,PSp3,left,CV
720575940618594117,efferent,descending,,,putative_primary,right,CV
720575940618658974,efferent,descending,,,putative_primary,right,CV
720575940618663838,efferent,descending,,,MD3,left,CV
720575940618666142,efferent,descending,,,MX12__prim,left,CV
720575940618698411,efferent,descending,,,LB12,right,CV
720575940618706603,efferent,descending,,,PSp2,right,CV
