root_id,hemisphere,type,column_id,x,y,p,q
39289,right,L1,198,-0.666666667,0.050847458,-5,7
39290,right,L2,157,0.055555556,-0.254237288,-3,-4
39291,right,L1,399,0.4444444444444444,-0.830508475,-8,-16
39292,right,L2,753,0.3333333333333335,0.7966101694915255,15,9
39293,right,L2,19,0.7222222222222221,0.5593220338983051,15,2
39294,right,L2,662,-0.277777778,-0.050847458,-3,2
39295,right,L2,9,-0.5,0.2881355932203389,0,9
39296,right,L2,236,0.11111111111111116,0.11864406779661008,3,1
39297,right,L3,150,0.8333333333333333,0.15254237288135597,10,-5
39298,right,L2,573,-0.444444444,0.4576271186440677,3,11
39299,right,L1,35,-0.111111111,-0.830508475,-13,-11
39300,right,L3,360,0.5,0.6271186440677967,14,5
39301,right,L3,587,-0.444444444,0.728813559,7,15
39302,right,L2,795,-0.722222222,-0.728813559,-17,-4
39303,right,L2,287,0.5,0.423728814,11,2
39304,right,L2,644,0.666666667,0.5932203389830508,15,3
39305,right,L1,317,0.5555555555555554,-0.152542373,3,-7
39306,right,L3,730,-0.777777778,-0.016949153,-7,7
39307,right,L1,311,0.7222222222222221,0.4915254237288136,14,1
39308,right,L3,350,-0.166666667,0.4915254237288136,6,9
39309,right,L1,615,0.7222222222222221,-0.254237288,3,-10
39310,right,L3,504,0.16666666666666674,0.2881355932203389,6,3
39311,right,L1,168,0.055555556,0.5593220338983051,9,8
39312,right,L2,207,-0.166666667,0.9661016949152543,13,16
39313,right,L3,142,0.22222222222222232,-0.627118644,-7,-11
39314,right,L3,260,0.2777777777777777,0.6271186440677967,12,7
39315,right,L2,722,-0.722222222,-0.525423729,-14,-1
39316,right,L1,792,-0.888888889,0.050847458,-7,9
39317,right,L3,67,0.16666666666666674,-0.457627119,-5,-8
39318,right,L3,542,-0.722222222,-0.457627119,-13,0
39319,right,L3,379,-0.388888889,-0.593220339,-12,-5
39320,right,L3,750,-0.444444444,-0.830508475,-16,-8
39321,right,L3,591,-0.388888889,-0.118644068,-5,2
39322,right,L1,385,0.3333333333333335,-0.627118644,-6,-12
39323,right,L3,405,-0.333333333,0.3220338983050848,2,8
39324,right,L1,226,-0.611111111,0.6271186440677967,4,15
39325,right,L1,583,-0.388888889,-0.86440678,-16,-9
39326,right,L1,750,-0.444444444,-0.830508475,-16,-8
39327,right,L1,164,0.11111111111111116,-0.084745763,0,-2
39328,right,L1,62,-0.055555556,-1,-15,-14
39329,right,L2,362,-0.222222222,-0.694915254,-12,-8
39330,right,L1,193,0.5555555555555554,0.11864406779661008,7,-3
39331,right,L1,339,-0.722222222,0.35593220338983045,-1,12
39332,right,L1,480,-0.388888889,-0.661016949,-13,-6
39333,right,L2,623,-0.166666667,0.423728814,5,8
39334,right,L3,391,-0.5,-0.118644068,-6,3
39335,right,L3,616,0.2777777777777777,0.4915254237288136,10,5
39336,right,L1,159,-0.833333333,0.22033898305084754,-4,11
39337,right,L1,700,-0.611111111,0.4915254237288136,2,13
39338,right,L1,697,-0.111111111,-0.762711864,-12,-10
39339,right,L3,188,0.5,0.5593220338983051,13,4
39340,right,L1,92,-0.055555556,0.2881355932203389,4,5
39341,right,L1,618,0.11111111111111116,0.7966101694915255,13,11
39342,right,L2,399,0.4444444444444444,-0.830508475,-8,-16
39343,right,L1,326,-0.222222222,0.5254237288135593,6,10
39344,right,L3,484,-0.388888889,-0.322033898,-8,-1
39345,right,L3,518,0.4444444444444444,0.728813559,15,7
39346,right,L1,360,0.5,0.6271186440677967,14,5
39347,right,L3,727,-0.777777778,0.18644067796610164,-4,10
39348,right,L2,605,-0.388888889,0.4915254237288136,4,11
39349,right,L2,359,-0.277777778,0.7627118644067796,9,14
39350,right,L1,778,-0.5,0.8305084745762712,8,17
39351,right,L2,643,-0.666666667,0.4576271186440677,1,13
39352,right,L2,101,0.7777777777777779,0.18644067796610164,10,-4
39353,right,L2,358,0.2777777777777777,0.5593220338983051,11,6
39354,right,L2,466,-0.111111111,0.4576271186440677,6,8
39355,right,L2,764,0.8888888888888888,-0.220338983,5,-11
39356,right,L3,205,-0.555555556,-0.220338983,-8,2
39357,right,L3,211,0.7222222222222221,-0.050847458,6,-7
39358,right,L2,552,-0.5,-0.050847458,-5,4
39359,right,L2,670,-0.611111111,0.15254237288135597,-3,8
39360,right,L3,543,0.11111111111111116,-0.152542373,-1,-3
39361,right,L3,704,0.7777777777777779,0.2542372881355932,11,-3
39362,right,L2,164,0.11111111111111116,-0.084745763,0,-2
39363,right,L3,235,-0.5,0.35593220338983045,1,10
39364,right,L1,725,0.3333333333333335,-0.830508475,-9,-15
39365,right,L2,382,-0.333333333,-0.220338983,-6,0
39366,right,L2,592,-0.333333333,-0.966101695,-17,-11
39367,right,L2,763,0.5555555555555554,0.4576271186440677,12,2
39368,right,L3,174,-0.5,-0.525423729,-12,-3
39369,right,L2,641,0.8333333333333333,-0.186440678,5,-10
39370,right,L2,542,-0.722222222,-0.457627119,-13,0
39371,right,L2,653,0.666666667,-0.423728814,0,-12
39372,right,L1,58,-0.333333333,0.38983050847457634,3,9
39373,right,L3,292,0.4444444444444444,0.5932203389830508,13,5
39374,right,L1,488,-0.833333333,0.15254237288135597,-5,10
39375,right,L2,84,0.22222222222222232,0.38983050847457634,8,4
39376,right,L1,95,-0.5,-0.728813559,-15,-6
39377,right,L1,208,-0.611111111,-0.728813559,-16,-5
39378,right,L1,24,0.11111111111111116,-0.355932203,-4,-6
39379,right,L2,613,0.8888888888888888,-0.152542373,6,-10
39380,right,L1,52,0.11111111111111116,-0.762711864,-10,-12
39381,right,L1,362,-0.222222222,-0.694915254,-12,-8
39382,right,L1,243,0.055555556,-0.728813559,-10,-11
39383,right,L1,598,-0.222222222,-0.627118644,-11,-7
39384,right,L2,57,-0.722222222,-0.389830508,-12,1
39385,right,L1,475,0.38888888888888906,-0.050847458,3,-4
39386,right,L3,255,0.6111111111111112,-0.457627119,-1,-12
39387,right,L2,568,0.666666667,-0.288135593,2,-10
39388,right,L2,259,0.7222222222222221,-0.186440678,4,-9
39390,right,L1,163,0.9444444444444444,0.22033898305084754,12,-5
39391,right,L2,586,-0.222222222,0.5932203389830508,7,11
39392,right,L1,36,-0.666666667,0.2542372881355932,-2,10
39393,right,L3,190,0.2777777777777777,-0.186440678,0,-5
39394,right,L1,502,-0.555555556,0.2542372881355932,-1,9
39395,right,L2,301,0.5555555555555554,0.5254237288135593,13,3
39396,right,L3,344,0.16666666666666674,-0.525423729,-6,-9
39397,right,L3,277,-0.833333333,-0.118644068,-9,6
39398,right,L2,265,0.6111111111111112,-0.050847458,5,-6
39399,right,L2,713,0.666666667,0.5254237288135593,14,2
39400,right,L2,290,-0.555555556,-0.830508475,-17,-7
39401,right,L3,249,-0.222222222,-0.423728814,-8,-4
39402,right,L3,309,0.666666667,0.38983050847457634,12,0
39403,right,L3,470,-0.5,-0.322033898,-9,0
39404,right,L2,457,0.16666666666666674,0.5593220338983051,10,7
39405,right,L2,392,0.38888888888888906,0.22033898305084754,7,0
39406,right,L1,336,-0.055555556,0.7627118644067796,11,12
39407,right,L1,222,0.3333333333333335,0.8644067796610169,16,10
39408,right,L1,296,-0.111111111,-0.627118644,-10,-8
39409,right,L1,241,-0.277777778,-0.593220339,-11,-6
39410,right,L3,247,0.38888888888888906,-0.525423729,-4,-11
39411,right,L3,583,-0.388888889,-0.86440678,-16,-9
39412,right,L1,586,-0.222222222,0.5932203389830508,7,11
39413,right,L2,731,0.6111111111111112,0.2881355932203389,10,-1
39414,right,L1,570,-0.277777778,0.8305084745762712,10,15
39415,right,L2,370,0.2777777777777777,0.6949152542372881,13,8
39416,right,L1,706,0.7777777777777779,-0.423728814,1,-13
39417,right,L3,715,-0.444444444,0.3220338983050848,1,9
39418,right,L1,511,-0.611111111,-0.389830508,-11,0
39419,right,L1,329,0,0.7966101694915255,12,12
39420,right,L3,187,-0.388888889,0.6949152542372881,7,14
39421,right,L2,433,0,-0.288135593,-4,-4
39422,right,L3,777,-0.666666667,0.6610169491525424,4,16
39423,right,L1,127,-0.055555556,0.4915254237288136,7,8
39424,right,L3,655,-0.722222222,-0.050847458,-7,6
39425,right,L2,187,-0.388888889,0.6949152542372881,7,14
39426,right,L2,751,-0.111111111,0.18644067796610164,2,4
