root_id,hemisphere,type,column_id,x,y,p,q
97640,left,L3,201,-0.833333333,0.2881355932203389,12,-3
97641,left,L2,415,0.666666667,0.38983050847457634,0,12
97642,left,L1,170,-0.5,0.016949152542372836,5,-4
97643,left,L1,343,-0.277777778,0.8983050847457628,16,11
97644,left,L1,273,-0.611111111,0.7627118644067796,17,6
97645,left,L2,721,0.6111111111111112,0.423728814,1,12
97646,left,L1,156,-0.944444444,0.016949152542372836,9,-8
97647,left,L3,731,-0.611111111,0.2881355932203389,10,-1
97648,left,L2,700,0.6111111111111112,0.4915254237288136,2,13
97649,left,L2,252,0.38888888888888906,0.7627118644067796,8,15
97650,left,L2,59,-0.222222222,0.050847458,3,-1
97651,left,L3,584,0.5,0.7627118644067796,7,16
97652,left,L3,376,-0.777777778,-0.355932203,2,-12
97653,left,L3,764,0.8333333333333333,0.35593220338983045,-2,13
97654,left,L2,154,-0.888888889,-0.016949153,8,-8
97655,left,L1,666,0.8333333333333333,-0.457627119,-14,1
97656,left,L1,569,0.666666667,0.18644067796610164,-3,9
97657,left,L2,532,-0.833333333,0.22033898305084754,11,-4
97658,left,L3,64,0.5,-0.796610169,-16,-7
97659,left,L1,368,-0.444444444,-0.694915254,-6,-14
97660,left,L1,407,-0.555555556,-0.355932203,0,-10
97662,left,L1,367,-0.611111111,-0.525423729,-2,-13
97663,left,L1,656,0.055555556,-0.389830508,-6,-5
97664,left,L1,247,-0.388888889,-0.525423729,-4,-11
97665,left,L1,157,-0.055555556,-0.254237288,-3,-4
97666,left,L3,189,0.7222222222222221,0.423728814,0,13
97667,left,L2,758,0.6111111111111112,-0.050847458,-6,5
97668,left,L2,766,0.22222222222222232,-0.152542373,-4,0
97669,left,L2,164,-0.111111111,-0.084745763,0,-2
97670,left,L3,42,-0.111111111,0.4576271186440677,8,6
97671,left,L1,344,-0.166666667,-0.525423729,-6,-9
97672,left,L3,298,-0.5,0.15254237288135597,7,-2
97674,left,L3,319,-0.166666667,0.15254237288135597,4,1
97675,left,L3,470,0.5,-0.322033898,-9,0
